text,label
He was happy feeling the gentle pulling and then he felt something hard and unbelievably heavy.,positive
But I was more intelligent that he was.,positive
"Now you are getting confused in the head, he thought.",negative
"I mistvivl, angst, smerte;",negative
"Beklemt og lider ilde,",negative
"But he was such a calm, strong fish and he seemed so fearless and so confident.",positive
"He loved green turtles and hawks-bills with their elegance and speed and their great value and he had a friendly contempt for the huge, stupid loggerheads, yellow in their armour-plating, strange in their love-making, and happily eating the Portuguese men-of-war with their eyes shut.",positive
Hvor? Ak hvor er hjælp at finde?,negative
:: Er kærlighed!::,positive
"Oplys dem med din lampe klar,",positive
Everything about him was old except his eyes and they were the same color as the sea and were cheerful and undefeated.,positive
Forkynde højt din nådes pris,positive
I am terrified by this dark thing,negative
But now they were freshening as when the breeze rises.,positive
"De red gennem de duftende skove, hvor de grønne grene slog hende på skulderen og de små fugle sang bag friske blade.",positive
"Each dead child coiled, a white serpent,",negative
"Syng mig en dejlig morgensang,",positive
His mouth was too dry to speak but he could not reach for the water now.,negative
"Now they have beaten me, he thought.",negative
"Rundt om ager og eng var der store skove, og midt i skovene dybe søer; jo, der var rigtignok dejligt derude på landet!",positive
I am sorry that I went too far out.,negative
"I've killed one man, I've killed two—",negative
"Efter denne søde stund,",positive
"Til smerte, sport og spe!",negative
"Dame Kindness, she is so nice!",positive
Til mit beklemte hjerte.,negative
"Da klinger det sødt i højen sky,",positive
"At lide dødens ve og skam,",negative
And the villagers never liked you.,negative
"Jeg elsker, beder, håber, tror",positive
"I am so stupidly happy,",positive
Et paradis foruden klipper.,positive
"""Thank you.",positive
His hope and his confidence had never gone.,positive
The horrific complications.,negative
"""Fish,"" he said, ""I love you and respect you very much.",positive
"""Ja det er en stor fornøjelse!""",positive
Om min lykke skrider brat,negative
Selv dyret sig glæder ved høstlivets lyst,positive
"og moderen sagde: ""Gid du bare var langt borte!""",negative
i så utrolig himmelglans.,positive
"""Your stew is excellent,"" the old man said.",positive
:: Er kærlighed!::,positive
He knew he was beaten now finally and without remedy and he went back to the stern and found the jagged end of the tiller would fit in the slot of the rudder well enough for him to steer.,negative
Tidt min ånd sig lod forvilde,negative
"Det var den sidste nat, hun åndede den samme luft som han, så det dybe hav og den stjerneblå himmel, en evig nat uden tanke og drøm ventede hende, som ej havde sjæl, ej kunne vinde den.",negative
He swung at him and hit only the head and the shark looked at him and wrenched the meat loose.,negative
"""Oh jeg er alt for lykkelig!""",positive
"Hun så, hvor havens frugter modnedes og blev afplukket, hun så, hvor sneen smeltede på de høje bjerge, men prinsen så hun ikke, og derfor vendte hun altid endnu mere bedrøvet hjem.",negative
"Trygt i dit navn, glider min stav,",positive
Bed is my friend.,positive
"Og takker dig, af hjertet inderlig",positive
Mishag og strid har hver timelig stund.,negative
Hun går i brudeklæder,positive
