text,label,prediction,category
"Far out in the sea, the water is as blue as the leaves of the most beautiful grain flower and as clearly as the cleanest glass, but it is very deep, deeper than something anchor rope when many church towers had to be placed on top of each other, to reach from the bottom up over the water.",6.666666666666667,0.18255678693612543,fairytales
Then the sea people live.,5.0,0.14399704737811397,fairytales
"Now one must not believe that there is only the naked white sandy bottom;No, there are the most marvelous trees and plants that are so supple in stalks and leaves that they are moving at the slightest movement of the water, just as if they were alive.",6.0,0.31581298184372153,fairytales
"All the fish, small and large, slip between the branches, just like up the birds in the air.",6.333333333333333,-0.1082306871824767,fairytales
"In the very deepest place lies the sea king's castle, the walls are of corals and the long pointed windows of the clearest amber, but the roof are seashells that open and close as the water goes;It looks nice;for in each lies brilliant pearls, one would be a large city in a queen of crown.",8.0,0.5616363616241584,fairytales
"The king of the sea down there had been a widow for many years, but his old mother held a house for him, she was a wise wife, but proud of her nobility, so she went with twelve oysters on the tail, the other noble had to bear only six.",5.666666666666667,-0.16649023874950247,fairytales
"Otherwise, she deserved a lot of praise, especially because she loved so much of the little sea princesses, her son -in -law.",6.333333333333333,0.8785126508005612,fairytales
"They were 6 lovely children, but the youngest was the most beautiful of them all, her skin was as clear and cut as a rose blade, her eyes as blue as the deepest lake, but like all the others she had no feet, her body ended up in a fishing tail.",7.333333333333333,-0.07258276500146099,fairytales
"Throughout the long day they could play down in the castle, in the large halls where living flowers grew out of the walls.",6.666666666666667,0.3382708050016387,fairytales
"The large amber windows were opened up, and then the fish swam in them, just as with us the swallows fly in as we open, but the fish swam straight to the little princesses, ate their hand and let themselves clap.",7.333333333333333,0.3301040582250608,fairytales
"Outside the castle was a large garden with fiery red and dark blue trees, the fruits beamed like gold, and the flowers like a burning fire in that they always moved stalks and leaves.",6.333333333333333,0.28683546378675306,fairytales
"The earth itself was the finest sand, but blue, like Sulfur Lue.",6.0,0.7974155357044589,fairytales
"All over there was a marvelous blue glow, one would rather think that one stood high up in the air and only saw sky above and below you than that one was on the bottom of the sea.",6.0,0.19910312127141597,fairytales
"In the steady one could eyes the sun, it seemed a purple flower, from whose cup the whole light emerged.",6.666666666666667,0.5564776743686956,fairytales
"Each of the little princesses had her little spot in the garden where she could dig and plant as she herself would;One gave his flower -spotted figure of a whale fish, another thought better that her looked like a little mermaid, but the youngest made his quite round like the sun, and had only flowers shining red like it.",5.666666666666667,0.24703251660340184,fairytales
"She was a strange child, quiet and thoughtful, and when the other sisters decorated the most wonderful things they had been given from stranded ships, she would only, besides the rosy flowers that looked like the sun that high up, have a beautiful marble support, a lovely boy it was, carved out of the white, clear stone and by stranding.",6.333333333333333,0.3733493572305225,fairytales
"She planted at the support a rosy cry, it grew gloriously, and hung with her fresh branches over it, down towards the blue sandy base where the shade appeared violet and was in motion, just like the branches;It looked as if top and roots were playing to kiss each other.",6.666666666666667,0.45403348920772535,fairytales
"No joy was her greater than hearing about the human world there above;The old grandmother had to tell everything she knew about ships and cities, humans and animals, especially it seemed wonderful that up on the ground smelled the flowers, it did not do so on the bottom of the sea, and that the forests were green and the fish sowing between the branches could sing so loud and lovely, so it was a bright;It was the little birds that the grandmother called fish, otherwise they could not understand her as they had not seen a bird.",7.666666666666667,0.6352329759958738,fairytales
"""When you reach your 15 years,"" said the grandmother, ""then you have to be allowed to dive out of the sea, sit in the moonlight on the rocks and see the big ships sailing past, forests and cities to see!""",6.0,0.16977508800205307,fairytales
"In the year that came, one of the sisters was 15 years old, but the other, yes one was a year younger than the other, the youngest of them had even five years before she dared to get up from the bottom of the sea and see what it looked like with us.",5.0,-0.22130237515687307,fairytales
"But one promised the other to tell what she had seen and found most beautiful on the first day;for their grandmother did not tell them enough, there was so much they had to be told.",6.0,0.351014801097328,fairytales
"No one was as longing as the youngest, just she, who had the longest time to wait and who was so quiet and thoughtful.",4.0,0.3580830531091499,fairytales
Many night she stood at the open window and looked up through the dark blue water where the fish struck with their fins and tail.,5.0,-0.13488420533217313,fairytales
"Moon and stars she could see, though they shone quite pale, but through the water they looked much bigger than for our eyes;Then there was like a black cloud under them, then she knew it was either a whale fish that swam over her, or a ship with many people;They did not think that a lovely little mermaid was standing below and extending his white hands against the keel.",5.333333333333333,-0.07561823426113293,fairytales
Now when the oldest princess was 15 years old and dared to rise above the sea surface.,5.0,0.16922372107311232,fairytales
"When she came back, she had a hundred things to tell, but the most wonderful thing, she said, was to lie in moonlight on a sandbank in the quiet lake, and look close to the coast the big city where the lights flashed, like a hundred stars, hear the music and the noise and noise of wagons and people, see the many church towers and spiers, and hear where the bells rang;Just because she couldn't get up there, she longed for all this.",6.666666666666667,0.23983352430198288,fairytales
