text,label,prediction,category
"Alle fiskene, små og store, smutter imellem grenene, ligesom heroppe fuglene i luften.",6.333333333333333,0.08035437284957606,fairytales
"På det allerdybeste sted ligger havkongens slot, murene er af koraller og de lange spidse vinduer af det allerklareste rav, men taget er muslingeskaller, der åbner og lukker sig, eftersom vandet går; det ser dejligt ud; thi i hver ligger strålende perler, én eneste ville være stor stads i en dronnings krone.",8.0,0.4855519130283093,fairytales
"Havkongen dernede havde i mange år været enkemand, men hans gamle moder holdt hus for ham, hun var en klog kone, men stolt af sin adel, derfor gik hun med tolv østers på halen, de andre fornemme måtte kun bære seks.",5.666666666666667,-0.07060402530564143,fairytales
"De var 6 dejlige børn, men den yngste var den smukkeste af dem alle sammen, hendes hud var så klar og skær som et rosenblad, hendes øjne så blå, som den dybeste sø, men ligesom alle de andre havde hun ingen fødder, kroppen endte i en fiskehale.",7.333333333333333,-0.0063199046425309975,fairytales
"Jorden selv var det fineste sand, men blåt, som svovllue.",6.0,0.512678467034431,fairytales
"Hver af de små prinsesser havde sin lille plet i haven, hvor hun kunne grave og plante, som hun selv ville; én gav sin blomsterplet skikkelse af en hvalfisk, en anden syntes bedre om, at hendes lignede en lille havfrue, men den yngste gjorde sin ganske rund ligesom solen, og havde kun blomster, der skinnede røde som den.",5.666666666666667,0.2093206205457346,fairytales
"Hun plantede ved støtten en rosenrød grædepil, den voksede herligt, og hang med sine friske grene ud over den, ned mod den blå sandbund, hvor skyggen viste sig violet og var i bevægelse, ligesom grenene; det så ud, som om top og rødder legede at kysse hinanden.",6.666666666666667,0.29600528734460385,fairytales
"Ingen glæde var hende større, end at høre om menneskeverdenen der ovenfor; den gamle bedstemoder måtte fortælle alt det hun vidste om skibe og byer, mennesker og dyr, især syntes det hende forunderligt dejligt, at oppe på jorden duftede blomsterne, det gjorde ikke de på havets bund, og at skovene var grønne og de fisk, som der sås mellem grenene, kunne synge så højt og dejligt, så det var en lyst; det var de små fugle, som bedstemoderen kaldte fisk, for ellers kunne de ikke forstå hende, da de ikke havde set en fugl.",7.666666666666667,0.5420114766186606,fairytales
"Men den ene lovede den anden at fortælle, hvad hun havde set og fundet dejligst den første dag; thi deres bedstemoder fortalte dem ikke nok, der var så meget de måtte have besked om.",6.0,0.31636044467925123,fairytales
"Mangen nat stod hun ved det åbne vindue og så op igennem det mørkeblå vand, hvor fiskene slog med deres finner og hale.",5.0,-0.07513087251367166,fairytales
Nu var da den ældste prinsesse 15 år og turde stige op over havfladen.,5.0,0.1614561413864839,fairytales
"Da hun kom tilbage, havde hun hundrede ting at fortælle, men det dejligste, sagde hun, var at ligge i måneskin på en sandbanke i den rolige sø, og se tæt ved kysten den store stad, hvor lysene blinkede, ligesom hundrede stjerner, høre musikken og den larm og støj af vogne og mennesker, se de mange kirketårne og spir, og høre hvor klokkerne ringede; just fordi hun ikke kunne komme derop, længtes hun allermest efter alt dette.",6.666666666666667,0.3625624827031611,fairytales
Oh!,5.666666666666667,0.8248983005930551,fairytales
"hvor hørte ikke den yngste søster efter, og når hun siden om aftnen stod ved det åbne vindue og så op igennem det mørkeblå vand, tænkte hun på den store stad med al den larm og støj, og da syntes hun at kunne høre kirkeklokkerne ringe ned til sig.",5.333333333333333,0.015047832538086949,fairytales
"Hun dykkede op, just i det solen gik ned, og det syn fandt hun var det dejligste.",6.666666666666667,0.6190286303360899,fairytales
"I en lille bugt traf hun en hel flok små menneskebørn; ganske nøgne løb de og plaskede i vandet, hun ville lege med dem, men de løb forskrækkede deres vej, og der kom et lille sort dyr, det var en hund, men hun havde aldrig før set en hund, den gøede så forskrækkeligt af hende, at hun blev angst og søgte ud i den åbne sø, men aldrig kunne hun glemme de prægtige skove, de grønne høje og de nydelige børn, som kunne svømme på vandet, skønt de ingen fiskehale havde.",5.333333333333333,-0.27661964006855144,fairytales
"Den fjerde søster var ikke så dristig, hun blev midt ude på det vilde hav, og fortalte, at der var just det dejligste; man så mange mile bort rundt omkring sig, og himlen ovenover stod ligesom en stor glasklokke.",7.0,0.3170398565773566,fairytales
"Søen tog sig ganske grøn ud og rundt om svømmede der store isbjerge, hvert så ud som en perle, sagde hun, og var dog langt større end de kirketårne, menneskene byggede.",6.0,0.24003598674914287,fairytales
"Hun havde sat sig på et af de største og alle sejlere krydsede forskrækkede uden om, hvor hun sad og lod blæsten flyve med sit lange hår; men ud på aftnen blev himlen overtrukket med skyer, det lynede og tordnede, medens den sorte sø løftede de store isblokke højt op og lod dem skinne ved de røde lyn.",5.666666666666667,-0.16753774552719236,fairytales
"Når søstrene således om aftnen, arm i arm, steg højt op gennem havet, da stod den lille søster ganske alene tilbage og så efter dem, og det var som om hun skulle græde, men havfruen har ingen tårer, og så lider hun meget mere.",2.666666666666667,-0.3987144181012504,fairytales
"""Ak, var jeg dog 15 år!""",3.333333333333333,-0.07245428764431772,fairytales
"""Det gør så ondt!""",2.666666666666667,-0.8115666873799597,fairytales
"""Ja man må lide noget for stadsen!""",4.666666666666667,0.25924734015672035,fairytales
sagde den gamle.,5.0,-0.2478853291922282,fairytales
"Solen var lige gået ned, idet hun løftede sit hoved op over havet, men alle skyerne skinnede endnu som roser og guld, og midt i den blegrøde luft strålede aftenstjernen så klart og dejligt, luften var mild og frisk og havet blikstille.",7.0,0.5046772582208796,fairytales
"På skibet selv var så lyst, at man kunne se hvert lille tov, sagtens menneskene.",5.0,0.44443062591535115,fairytales
"Oh hvor dog den unge prins var smuk, og han trykkede folkene i hånden, lo og smilede, mens musikken klang i den dejlige nat.",7.666666666666667,0.9910195266231631,fairytales
"Det blev silde, men den lille havfrue kunne ikke vende sine øjne bort fra skibet og fra den dejlige prins.",6.666666666666667,-0.1331449162906006,fairytales
"De brogede lygter blev slukket, Raketterne steg ikke mere i vejret, der lød heller ingen flere kanonskud, men dybt nede i havet summede og brummede det, hun sad i medens på vandet og gyngede op og ned, så at hun kunne se ind i kahytten; men skibet tog stærkere fart, det ene sejl bredte sig ud efter det andet, nu gik bølgerne stærkere, store skyer trak op, det lynede langt borte.",3.666666666666667,-0.3102185859064271,fairytales
"Oh, det ville blive et skrækkeligt vejr!",2.666666666666667,-0.8469507134900904,fairytales
"Lige straks blev hun ganske fornøjet, for nu kom han ned til hende, men så huskede hun, at menneskene ikke kan leve i vandet, og at han ikke, uden som død, kunne komme ned til hendes faders slot.",2.666666666666667,-0.33745207002173366,fairytales
"Hun holdt hans hoved op over vandet, og lod så bølgerne drive hende med ham, hvorhen de ville.",5.0,0.17024253601544284,fairytales
"Nu ringede klokkerne i den store hvide bygning, og der kom mange unge piger gennem haven.",5.0,0.5554932530653658,fairytales
"Da svømmede den lille havfrue længere ud bag nogle høje stene, som ragede op af vandet, lagde søskum på sit hår og sit bryst, så at ingen kunne se hendes lille ansigt, og da passede hun på, hvem der kom til den stakkels prins.",4.666666666666667,-0.4149929469711605,fairytales
"Hun så, hvor havens frugter modnedes og blev afplukket, hun så, hvor sneen smeltede på de høje bjerge, men prinsen så hun ikke, og derfor vendte hun altid endnu mere bedrøvet hjem.",3.0,-0.33165121596359665,fairytales
"Til sidst kunne hun ikke længere holde det ud, men sagde det til en af sine søstre, og så fik straks alle de andre det at vide, men heller ingen flere, end de og et par andre havfruer, som ikke sagde det uden til deres nærmeste veninder.",4.0,-0.44373118047522864,fairytales
"En af dem vidste besked, hvem prinsen var, hun havde også set stadsen på skibet, vidste, hvorfra han var, og hvor hans kongerige lå.",5.0,0.2128066147907387,fairytales
